Population_Billions,GDP_percap,life_exp
31.889923,974.5803384,43.828
3.600523,5937.029526,76.423
33.333216,6223.367465,72.301
12.420476,4797.231267,42.731
40.301927,12779.37964,75.32
20.434176,34435.36744,81.235
8.199783,36126.4927,79.829
0.708573,29796.04834,75.635
150.448339,1391.253792,64.062
10.392226,33692.60508,79.441
8.078314,1441.284873,56.728
9.119152,3822.137084,65.554
4.552198,7446.298803,74.852
1.639131,12569.85177,50.728
190.010647,9065.800825,72.39
7.322858,10680.79282,73.005
14.326203,1217.032994,52.295
8.390505,430.0706916,49.58
14.131858,1713.778686,59.723
17.696293,2042.09524,50.43
33.390141,36319.23501,80.653
4.369038,706.016537,44.741
10.238807,1704.063724,50.651
16.284741,13171.63885,78.553
1318.683096,4959.114854,72.961
44.22755,7006.580419,72.889
0.71096,986.1478792,65.152
64.606759,277.5518587,46.462
3.80061,3632.557798,55.322
4.133884,9645.06142,78.782
18.013409,1544.750112,48.328
4.493312,14619.22272,75.748
11.416987,8948.102923,78.273
10.228744,22833.30851,76.486
5.46812,35278.41874,78.332
0.496374,2082.481567,54.791
9.319622,6025.374752,72.235
13.75568,6873.262326,74.994
80.264543,5581.180998,71.338
6.939688,5728.353514,71.878
0.551201,12154.08975,51.579
4.906585,641.3695236,58.04
76.511887,690.8055759,52.947
5.23846,33207.0844,79.313
61.083916,30470.0167,80.657
1.454867,13206.48452,56.735
1.688359,752.7497265,59.448
82.400996,32170.37442,79.406
22.873338,1327.60891,60.022
10.70629,27538.41188,79.483
12.572928,5186.050003,70.259
9.947814,942.6542111,56.007
1.472041,579.231743,46.388
8.502814,1201.637154,60.916
7.483763,3548.330846,70.198
6.980412,39724.97867,82.208
9.956108,18008.94444,73.338
0.301931,36180.78919,81.757
1110.396331,2452.210407,64.698
223.547,3540.651564,70.65
69.45357,11605.71449,70.964
27.499638,4471.061906,59.545
4.109086,40675.99635,78.885
6.426679,25523.2771,80.745
58.147733,28569.7197,80.546
2.780132,7320.880262,72.567
127.467972,31656.06806,82.603
6.053193,4519.461171,72.535
35.610177,1463.249282,54.11
23.301725,1593.06548,67.297
49.04479,23348.13973,78.623
2.505559,47306.98978,77.588
3.921278,10461.05868,71.993
2.012649,1569.331442,42.592
3.193942,414.5073415,45.678
6.036914,12057.49928,73.952
19.167654,1044.770126,59.443
13.327079,759.3499101,48.303
24.821286,12451.6558,74.241
12.031795,1042.581557,54.467
3.270065,1803.151496,64.164
1.250882,10956.99112,72.801
108.700891,11977.57496,76.195
2.874127,3095.772271,66.803
0.684736,9253.896111,74.543
33.757175,3820.17523,71.164
19.951656,823.6856205,42.082
47.76198,944,62.069
2.05508,4811.060429,52.906
28.90179,1091.359778,63.785
16.570613,36797.93332,79.762
4.115771,25185.00911,80.204
5.675356,2749.320965,72.899
12.894865,619.6768924,56.867
135.031164,2013.977305,46.859
4.627926,49357.19017,80.196
3.204897,22316.19287,75.64
169.270617,2605.94758,65.483
3.242173,9809.185636,75.537
6.667147,4172.838464,71.752
28.674757,7408.905561,71.421
91.077287,3190.481016,71.688
38.518241,15389.92468,75.563
10.642836,20509.64777,78.098
3.942491,19328.70901,78.746
0.798094,7670.122558,76.442
22.276056,10808.47561,72.476
8.860588,863.0884639,46.242
0.199579,1598.435089,65.528
27.601038,21654.83194,72.777
12.267493,1712.472136,63.062
10.150265,9786.534714,74.002
6.144562,862.5407561,42.568
4.553009,47143.17964,79.972
5.447502,18678.31435,74.663
2.009245,25768.25759,77.926
9.118773,926.1410683,48.159
43.997828,9269.657808,49.339
40.448191,28821.0637,80.941
20.378239,3970.095407,72.396
42.292929,2602.394995,58.556
1.133066,4513.480643,39.613
9.031088,33859.74835,80.884
7.554661,37506.41907,81.701
19.314747,4184.548089,74.143
23.174294,28718.27684,78.4
38.13964,1107.482182,52.517
65.068149,7458.396327,70.616
5.701579,882.9699438,58.42
1.056608,18008.50924,69.819
10.276158,7092.923025,73.923
71.158647,8458.276384,71.777
29.170398,1056.380121,51.542
60.776238,33203.26128,79.425
301.139947,42951.65309,78.242
3.447496,10611.46299,76.384
26.084662,11415.80569,73.747
85.262356,2441.576404,74.249
4.018332,3025.349798,73.422
22.211743,2280.769906,62.698
11.746035,1271.211593,42.384
12.311143,469.7092981,43.487
